번호,교과구분,개설대학,강좌번호,강의시간,1,2,1T,2T,수강정원,수강신청인원
144,교직,인문대학,CLTR0210-008,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,30,29
147,,,WELF0206-002,월 2B3A3B수 1A1B2A,월,수,9:00,10:30,50,50
148,교양,사회과학대학,WELF0282-001,월 1A1B2A수 2B3A3B,월,수,10:30,9:00,70,64
149,,,WELF0282-002,월 1A1B수 3A3B수 4A4B,월,수,11:00,9:00,50,35
150,,,WELF0286-001,화 1A1B목 3A3B목 4A4B,화,목,11:00,9:00,50,50
151,,,WELF0305-001,금 1A1B2A금 2B3A3B,금,금,10:30,9:00,50,54
152,,,WELF0313-001,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,60,46
153,,,WELF0313-002,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,70,59
154,교양,사회과학대학,WELF0447-001,월 2B3A3B수 1A1B2A,월,수,9:00,10:30,70,62
155,전공,사회과학대학,WELF0457-001,금 1A1B금 2A2B금 3A3B,금,금,10:00,9:00,30,32
156,전공,사회과학대학,CLTR0061-002,월 2B3A3B금 1A1B2A,월,금,9:00,10:30,70,68
157,교양,사회과학대학,CLTR0515-002,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,70,69
158,,,COMM0217-001,월 1A1B2A수 2B3A3B,월,수,10:30,9:00,40,21
159,,,COMM0445-001,월 2B3A3B수 1A1B2A,월,수,9:00,10:30,50,53
160,,,COMM0593-001,목 1A1B목 2A2B목 3A3B목 4A4B,목,목,10:00,9:00,20,15
161,,,COMM0627-001,수 1A1B수 2A2B수 3A3B,수,수,10:00,9:00,40,39
162,교양,사회과학대학,MECO0201-001,월 1A1B2A수 2B3A3B,월,수,10:30,9:00,70,30
163,교양,사회과학대학,CLTR0221-002,수 1A1B2A금 2B3A3B,수,금,10:30,9:00,65,58
164,전공필수,사회과학대학,MATH0201-002,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,40,30
165,전공,사회과학대학,MATH0206-002,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,40,25
166,전공,사회과학대학,MATH0231-002,월 2B3A3B금 1A1B2A,월,금,9:00,10:30,40,36
167,,,MATH0254-001,월 1A1B2A수 2B3A3B,월,수,10:30,9:00,40,29
168,교양,사회과학대학,MATH0407-001,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,30,5
169,교양,사회과학대학,MATH0411-001,화 1A1B2A목 10A10B목 11A11B목 2B3A3B,화,목,10:30,9:00,40,28
171,전공,사회과학대학,MATH0419-001,월 1A1B2A수 2B3A3B,월,수,10:30,9:00,40,40
172,교양,사회과학대학,BIOC0431-001,월 1A1B2A수 2B3A3B,월,수,10:30,9:00,60,81
173,융합전공,사회과학대학,CHEM0201-001,수 1A1B2A금 2B3A3B,수,금,10:30,9:00,70,61
174,전공,사회과학대학,CHEM0203-001,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,70,88
175,전공,사회과학대학,CHEM0251-001,월 2B3A3B금 1A1B2A,월,금,9:00,10:30,60,36
176,전공,사회과학대학,CHEM0301-001,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,60,79
177,전공,사회과학대학,CHEM0303-001,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,50,16
178,교양,사회과학대학,CHEM0355-001,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,50,28
179,전공,사회과학대학,CLTR0107-001,월 2B3A3B금 1A1B2A,월,금,9:00,10:30,70,68
180,전공,사회과학대학,CLTR0226-001,화 1A1B화 2A2B,화,화,10:00,9:00,24,22
181,,,CLTR0226-002,화 1A1B화 2A2B,화,화,10:00,9:00,24,21
182,,,CLTR0112-003,수 1A1B2A금 2B3A3B,수,금,10:30,9:00,70,64
